,nsites,nelements,volume,density,density_atomic,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,equilibrium_reaction_energy_per_atom,band_gap,efermi,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,k_voigt,k_reuss,k_vrh,g_voigt,g_reuss,g_vrh,universal_anisotropy,homogeneous_poisson
mp-867922,4,3,59.320772363519445,7.7748844887352195,14.830193090879861,-7.2916387725,-7.2916387725,-1.089973603749999,0.0,-0.029882104999999548,0.0,7.16935908,1.28e-05,2.1577601723661354e-07,1.28e-05,0,0,163.36641394186665,163.36641394186665,163.36641394186665,83.89979563337468,83.56131806507032,83.7305568492225,0.020253244930912295,0.28112702483579755
mp-862261,4,3,69.16295143211165,6.15570866705516,17.290737858027914,-6.29382386,-6.29382386,-0.4940527699999997,0.0,-0.03173226499999959,0.0,4.88168689,2.4e-06,3.4700659100064146e-08,2.4e-06,0,0,108.56190489362157,108.56190489362157,108.56190489362157,36.755855516556935,31.110223695491477,33.93303960602421,0.9073595671193502,0.3584624444574135
mp-2,1,1,15.02799459406926,11.759025221988814,15.02799459406926,-5.17988181,-5.17988181,0.0,0.0,0.0,0.0,4.47959619,0.3851734,0.025630392504400235,0.3851734,1,1,160.471433539106,160.47143353910596,160.471433539106,50.48509270266167,35.28114471875618,42.88311871070893,2.1546846205110164,0.3773126174290425
mp-861912,4,3,61.71933754459441,11.42950868199612,15.429834386148602,-10.65227785,-10.65227785,-0.5336409658333352,0.0,-0.03651515250000159,0.0,7.07420374,5.7e-06,9.235355120073263e-08,5.7e-06,0,0,229.03702602896848,229.03702602896848,229.03702602896848,103.44946553972753,98.64495361970249,101.047209579715,0.2435254791921464,0.3076898806478265
mp-861875,4,3,69.8739184597196,13.073676927924653,17.4684796149299,-8.7742090925,-8.7742090925,-0.2072520645833329,0.0,-0.018065403233331168,0.0,4.5968507,0.0005994,8.57830808995688e-06,0.0005994,0,0,135.88492080859572,135.88492080859575,135.88492080859572,48.31305375284746,47.50210722279943,47.907580487823445,0.0853590058904583,0.3422578778743299
mp-2352,3,2,41.253952671138684,2.4947536447164014,13.751317557046228,-3.74053954,-3.9695395399999995,-1.438959773951149,0.0,-0.5667395844061294,1.8736000000000002,0.65267651,0.0,0.0,0.0,0,0,45.636961572344056,45.63696157234406,45.63696157234406,31.2849714986569,29.08634684567263,30.185659172164765,0.3779478847326221,0.22902797565776303
mp-862338,4,3,66.39151480478435,6.366075492198763,16.597878701196088,-6.981064675,-6.981064675,-0.4714278199999997,0.0,-0.059492424999999294,0.0,5.44813893,2e-07,3.0124331488455126e-09,2e-07,0,0,118.0559271683328,118.05592716831201,118.0559271683224,47.68386235497867,45.414263968462166,46.54906316172042,0.2498772619208598,0.32575328271847614
mp-933,2,2,49.43376863412401,5.503158841073434,24.716884317062004,-7.11118645,-7.11118645,-1.5483916908333333,0.0,-1.5483916908333333,0.0,4.24484559,1e-06,2.0229086869773922e-08,1e-06,0,0,75.48744325477364,75.48744325477364,75.48744325477364,53.6388515153884,48.3215510185442,50.980201266966304,0.5501996919349299,0.22437426368552743
mp-865866,4,3,65.24640316847724,12.428210363046484,16.31160079211931,-6.522964345,-6.522964345,-0.8732418108333331,0.0,-0.00038919818182314714,0.0,4.94347874,1.77e-05,2.7127932177802364e-07,1.77e-05,0,0,139.81015197500645,139.81015197500682,139.81015197500665,23.600508343073702,10.798960458779419,17.19973440092656,5.927213055904275,0.440912007064536
mp-2795,2,2,26.169497861218133,6.550574767916145,13.084748930609067,-9.69222058,-9.69222058,-0.8040375187500004,0.0,-0.04284780937500088,0.0,5.77434079,1.1e-06,4.2033668579867716e-08,1.1e-06,0,0,221.25196351284131,221.2519635128413,221.25196351284131,159.36864769246876,158.51484296578138,158.94174532912507,0.026931381021261913,0.21020626825765903
