LENGTHS: 503 89
Directory 'outs_efermi_norm_color_3_s5200' created.
Fold 1/5
Epoch 114/800, Loss: 0.0720, R^2: 0.9215, RMSE: 0.2615
Fold 1, Epoch 114, Validation R^2: 0.5506, Validation RMSE: 0.6638
Epoch 115/800, Loss: 0.0719, R^2: 0.9259, RMSE: 0.2591
Fold 1, Epoch 115, Validation R^2: 0.6132, Validation RMSE: 0.6158
Epoch 116/800, Loss: 0.0693, R^2: 0.9292, RMSE: 0.2536
Fold 1, Epoch 116, Validation R^2: 0.5747, Validation RMSE: 0.6458
Epoch 117/800, Loss: 0.0533, R^2: 0.9464, RMSE: 0.2227
Fold 1, Epoch 117, Validation R^2: 0.5963, Validation RMSE: 0.6292
Epoch 118/800, Loss: 0.0498, R^2: 0.9506, RMSE: 0.2104
Fold 1, Epoch 118, Validation R^2: 0.6038, Validation RMSE: 0.6233
Epoch 119/800, Loss: 0.0417, R^2: 0.9601, RMSE: 0.1924
Fold 1, Epoch 119, Validation R^2: 0.6167, Validation RMSE: 0.6130
Epoch 120/800, Loss: 0.0424, R^2: 0.9486, RMSE: 0.1950
Fold 1, Epoch 120, Validation R^2: 0.5977, Validation RMSE: 0.6281
Epoch 121/800, Loss: 0.0375, R^2: 0.9634, RMSE: 0.1794
Fold 1, Epoch 121, Validation R^2: 0.6068, Validation RMSE: 0.6209
Epoch 122/800, Loss: 0.0398, R^2: 0.9644, RMSE: 0.1825
Fold 1, Epoch 122, Validation R^2: 0.6160, Validation RMSE: 0.6137
Epoch 123/800, Loss: 0.0324, R^2: 0.9713, RMSE: 0.1621
Fold 1, Epoch 123, Validation R^2: 0.6150, Validation RMSE: 0.6144
Epoch 124/800, Loss: 0.0308, R^2: 0.9724, RMSE: 0.1596
Fold 1, Epoch 124, Validation R^2: 0.6245, Validation RMSE: 0.6068
Epoch 125/800, Loss: 0.0297, R^2: 0.9727, RMSE: 0.1501
Fold 1, Epoch 125, Validation R^2: 0.6211, Validation RMSE: 0.6096
Epoch 126/800, Loss: 0.0318, R^2: 0.9703, RMSE: 0.1645
Fold 1, Epoch 126, Validation R^2: 0.6200, Validation RMSE: 0.6104
Epoch 127/800, Loss: 0.0292, R^2: 0.9723, RMSE: 0.1574
Fold 1, Epoch 127, Validation R^2: 0.6411, Validation RMSE: 0.5933
Epoch 128/800, Loss: 0.0270, R^2: 0.9736, RMSE: 0.1540
Fold 1, Epoch 128, Validation R^2: 0.6238, Validation RMSE: 0.6074
Epoch 129/800, Loss: 0.0256, R^2: 0.9764, RMSE: 0.1471
Fold 1, Epoch 129, Validation R^2: 0.6362, Validation RMSE: 0.5973
Epoch 130/800, Loss: 0.0282, R^2: 0.9713, RMSE: 0.1581
Fold 1, Epoch 130, Validation R^2: 0.6377, Validation RMSE: 0.5960
Epoch 131/800, Loss: 0.0261, R^2: 0.9751, RMSE: 0.1488
Fold 1, Epoch 131, Validation R^2: 0.6506, Validation RMSE: 0.5854
Epoch 132/800, Loss: 0.0250, R^2: 0.9743, RMSE: 0.1358
Fold 1, Epoch 132, Validation R^2: 0.6487, Validation RMSE: 0.5869
Epoch 133/800, Loss: 0.0236, R^2: 0.9756, RMSE: 0.1413
Fold 1, Epoch 133, Validation R^2: 0.6442, Validation RMSE: 0.5907
Epoch 134/800, Loss: 0.0298, R^2: 0.9724, RMSE: 0.1604
Fold 1, Epoch 134, Validation R^2: 0.6680, Validation RMSE: 0.5705
Epoch 135/800, Loss: 0.0284, R^2: 0.9742, RMSE: 0.1486
Fold 1, Epoch 135, Validation R^2: 0.6517, Validation RMSE: 0.5844
Epoch 136/800, Loss: 0.0241, R^2: 0.9774, RMSE: 0.1418
Fold 1, Epoch 136, Validation R^2: 0.6280, Validation RMSE: 0.6040
Epoch 137/800, Loss: 0.0229, R^2: 0.9766, RMSE: 0.1367
Fold 1, Epoch 137, Validation R^2: 0.6431, Validation RMSE: 0.5916
Epoch 138/800, Loss: 0.0214, R^2: 0.9800, RMSE: 0.1314
Fold 1, Epoch 138, Validation R^2: 0.6578, Validation RMSE: 0.5793
Epoch 139/800, Loss: 0.0194, R^2: 0.9827, RMSE: 0.1181
Fold 1, Epoch 139, Validation R^2: 0.6693, Validation RMSE: 0.5695
Epoch 140/800, Loss: 0.0191, R^2: 0.9824, RMSE: 0.1177
Fold 1, Epoch 140, Validation R^2: 0.6773, Validation RMSE: 0.5625
Epoch 141/800, Loss: 0.0186, R^2: 0.9817, RMSE: 0.1209
Fold 1, Epoch 141, Validation R^2: 0.6672, Validation RMSE: 0.5713
Epoch 142/800, Loss: 0.0170, R^2: 0.9850, RMSE: 0.1106
Fold 1, Epoch 142, Validation R^2: 0.6782, Validation RMSE: 0.5618
Epoch 143/800, Loss: 0.0160, R^2: 0.9842, RMSE: 0.1111
Fold 1, Epoch 143, Validation R^2: 0.6776, Validation RMSE: 0.5622
Epoch 144/800, Loss: 0.0156, R^2: 0.9867, RMSE: 0.1032
Fold 1, Epoch 144, Validation R^2: 0.6744, Validation RMSE: 0.5651
Epoch 145/800, Loss: 0.0156, R^2: 0.9856, RMSE: 0.1050
Fold 1, Epoch 145, Validation R^2: 0.6738, Validation RMSE: 0.5656
Epoch 146/800, Loss: 0.0152, R^2: 0.9868, RMSE: 0.1020
Fold 1, Epoch 146, Validation R^2: 0.6790, Validation RMSE: 0.5610
